Team,Gender,Number,Name,PPG,FGA,FG%,3PT%,FT%,AST,STL,BLK
Albright Men's Basketball,M,1,"Stanton, Jeremiah",30.7,206,0.413,0.34,0.733,96,9,3
Albright Men's Basketball,M,3,"Smith, Miles",19.3,49,0.449,0.4,0.667,47,18,2
Albright Men's Basketball,M,22,"McWhite, Chase",28.7,125,0.408,0.186,0.864,47,14,21
Albright Men's Basketball,M,2,"Mitchell, Qadir",31.2,296,0.52,0.44,0.833,36,24,8
Albright Men's Basketball,M,5,"Dupree, Phanique",32.3,203,0.517,0.324,0.647,25,14,46
Albright Men's Basketball,M,0,"Callahan , Joey",19.4,88,0.432,0.349,1,24,11,2
Albright Men's Basketball,M,4,"Keys, Akhir",14.6,105,0.39,0.383,0.813,8,4,2
Albright Men's Basketball,M,10,"Turner, Justin",8.9,50,0.34,0.333,0.563,8,3,5
Albright Men's Basketball,M,34,"Fuller-Wright, Spencer ",15.2,29,0.517,1,0.348,7,4,9
Albright Men's Basketball,M,11,"Strong, Josh ",9.1,29,0.379,0,0.565,4,4,5
Albright Men's Basketball,M,15,"Crawford Jr. , Tristan",1.6,3,0.333,0.333,0,2,0,0
Albright Men's Basketball,M,12,"Mbaye, Malik",6.6,17,0.294,0.25,0,0,3,1
Albright Men's Basketball,M,13,"Prettyman, Presley",1.5,5,0.2,0.333,0.333,0,0,0
Albright Men's Basketball,M,14,"Torbica, Aleksandar",1.5,1,1,0,0.75,0,0,0
Albright Men's Basketball,M,44,"Hamlett, Reggie",1.5,0,0,0,0,0,0,0
Albright Men's Basketball,M,32,"Hardin, Marqus",1.4,2,0.5,0,0.875,0,0,1
Albright Men's Basketball,M,33,"Conrad, Jace",1.3,0,0,0,0.5,0,1,0
Albright Men's Basketball,M,,Men's Team Average,13.223,71.058,0.393,0.275,0.558,17.882,6.412,6.176
,,,,,,,,,,,
Albright Women's Basketball,F,5,"Jones, Chrisdin",29,253,0.364,0.103,0.741,40,30,17
Albright Women's Basketball,F,24,"Cooper, Kenedy",26.2,202,0.366,0.273,0.656,34,50,11
Albright Women's Basketball,F,3,"Serrano, Gigi",30.9,118,0.407,0.25,0.625,25,24,8
Albright Women's Basketball,F,13,"Apistar, CJ",32.4,104,0.442,0.286,0.627,44,44,1
Albright Women's Basketball,F,22,"Edmond, Orianna",20.9,110,0.391,0,0.491,13,8,23
Albright Women's Basketball,F,23,"Zakovitch, Julia",23.4,108,0.389,0.125,0.714,13,10,8
Albright Women's Basketball,F,15,"Parmelee, Julia",22.9,110,0.31,0.158,0.75,30,32,1
Albright Women's Basketball,F,1,"McCaskell, Camille",14.3,58,0.345,0.257,0.625,14,11,1
Albright Women's Basketball,F,14,"Gibbs, Ciarra",9.6,31,0.516,0,0.6,10,5,0
Albright Women's Basketball,F,10,"Johnson , Mara",4.6,13,0.308,0,0.429,3,3,0
Albright Women's Basketball,F,12,"Sonzogni , Devon",5.1,17,0.118,0,0.5,2,2,0
Albright Women's Basketball,F,2,"Burton, Aaliyah",4.6,8,0.25,0,0,1,0,0
Albright Women's Basketball,F,,Women's Team Average,18.656,94.333,0.351,0.121,0.563,19.083,18.25,5.833
